feature,mean_shap_Arunachal Pradesh,mean_abs_shap_Arunachal Pradesh,mean_shap_Assam,mean_abs_shap_Assam,mean_shap_Manipur,mean_abs_shap_Manipur,mean_shap_Meghalaya,mean_abs_shap_Meghalaya,mean_shap_Mizoram,mean_abs_shap_Mizoram,mean_shap_Nagaland,mean_abs_shap_Nagaland,mean_shap_Tripura,mean_abs_shap_Tripura,consistency_flag,max_mag_ratio
elevation_m,0.5277984738349915,0.7387781739234924,-0.6466233134269714,0.6881943345069885,0.7121330499649048,0.7272858023643494,0.008406048640608788,0.00895420927554369,0.0006838973495177925,0.00103092473000288,0.466375470161438,0.5780738592147827,-0.002505925251170993,0.002642914652824402,SIGN_FLIP,716.6170043945312
slope_degrees,0.029799604788422585,0.05237763375043869,-0.30077654123306274,0.3245690166950226,0.10362976044416428,0.14392933249473572,0.0,0.0,0.0,0.0,0.15017876029014587,0.17617319524288177,0.0,0.0,SIGN_FLIP,3245690112.0
terrain_roughness,0.0075248293578624725,0.013092727400362492,-0.0695100650191307,0.08540560305118561,0.036747101694345474,0.047917984426021576,0.0,0.0,0.0,0.0,0.04164792224764824,0.048882462084293365,0.0,0.0,SIGN_FLIP,854056000.0
max_daily_rainfall_mm,0.2923465073108673,0.4984491467475891,0.058513712137937546,0.29584529995918274,0.33420178294181824,0.33527371287345886,-0.03216850012540817,0.03899337351322174,-0.004616177640855312,0.013173984363675117,0.09036055207252502,0.19963447749614716,-0.021471353247761726,0.03034793585538864,SIGN_FLIP,37.83586883544922
mean_daily_rainfall_mm,0.06514829397201538,0.13269872963428497,-0.023720907047390938,0.4870988428592682,0.004232981242239475,0.056631214916706085,0.013683386147022247,0.016149982810020447,-0.0015190851408988237,0.00410882756114006,0.013252698816359043,0.06441957503557205,0.003922679461538792,0.007734190672636032,SIGN_FLIP,118.54935455322266
rainfall_90th_percentile_mm,0.035653479397296906,0.13936847448349,0.18002350628376007,0.38966047763824463,0.09081320464611053,0.20652124285697937,-0.0024553907569497824,0.005154073238372803,0.0004000822955276817,0.00047347904182970524,0.2123757004737854,0.22778438031673431,0.0002338548074476421,0.0006416031974367797,SIGN_FLIP,822.9730224609375
rainfall_95th_percentile_mm,0.05345824733376503,0.2059464156627655,0.12258672714233398,0.3110317289829254,0.21262972056865692,0.21401682496070862,-0.0008095495286397636,0.0031619344372302294,0.026749739423394203,0.02683718502521515,0.31857985258102417,0.325298011302948,0.05161288380622864,0.060753848403692245,SIGN_FLIP,102.87943267822266
rain_days_per_year,0.16799362003803253,0.234751895070076,-0.33738622069358826,0.6138983964920044,-0.2866054177284241,0.30452075600624084,0.026574045419692993,0.03440318629145622,0.005442449823021889,0.00907081551849842,0.10450577735900879,0.14125119149684906,0.0169209111481905,0.02145748771727085,SIGN_FLIP,67.67841339111328
dist_to_nearest_road_km,-0.003077459754422307,0.027529019862413406,0.030066920444369316,0.09563888609409332,0.009376800619065762,0.02663848176598549,1.0608655429678038e-05,1.5062212696648203e-05,-1.2067655916325748e-05,0.00010264511365676299,0.013539406470954418,0.017339378595352173,0.00012048362987115979,0.000665969040710479,SIGN_FLIP,6349.5908203125
dist_to_nearest_river_km,0.028050316497683525,0.06310402601957321,-0.001316684647463262,0.0703333392739296,0.024985847994685173,0.03897559642791748,0.0,0.0,0.0,0.0,0.015844501554965973,0.03065200336277485,-0.00024543912149965763,0.00044257694389671087,SIGN_FLIP,703333376.0
